route_id,route_short_name,route_long_name,route_desc,route_type,route_url
1-170,1,,,3,
1-184,1,,,3,
2-170,2,,,3,
2-184,2,,,3,
4-170,4,,,3,
4-184,4,,,3,
5-170,5,,,3,
5-184,5,,,3,
6-170,6,,,3,
6-184,6,,,3,
7-170,7,,,3,
7-184,7,,,3,
8-170,8,,,3,
8-184,8,,,3,
9-170,9,,,3,
9-184,9,,,3,
12-170,12,,,3,
12-184,12,,,3,
14-170,14,,,3,
14-184,14,,,3,
16-170,16,,,3,
16-184,16,,,3,
18-170,18,,,3,
18-184,18,,,3,
20-170,20,,,3,
20-184,20,,,3,
21-170,21,,,3,
21-184,21,,,3,
22-170,22,,,3,
22-184,22,,,3,
24-170,24,,,3,
24-184,24,,,3,
27-170,27,,,3,
27-184,27,,,3,
30-170,30,,,3,
30-184,30,,,3,
31-170,31,,,3,
31-184,31,,,3,
34-170,34,,,3,
34-184,34,,,3,
35-170,35,,,3,
35-184,35,,,3,
37-170,37,,,3,
37-184,37,,,3,
38-170,38,,,3,
38-184,38,,,3,
40-170,40,,,3,
40-184,40,,,3,
41-170,41,,,3,
41-184,41,,,3,
43-170,43,,,3,
43-184,43,,,3,
60-170,60,,,3,
60-184,60,,,3,
61-170,61,,,3,
61-184,61,,,3,
62-170,62,,,3,
62-184,62,,,3,
64-184,64,,,3,
65-170,65,,,3,
65-184,65,,,3,
66-170,66,,,3,
66-184,66,,,3,
67-170,67,,,3,
67-184,67,,,3,
68-170,68,,,3,
68-184,68,,,3,
69-170,69,,,3,
69-184,69,,,3,
70-170,70,,,3,
70-184,70,,,3,
71-170,71,,,3,
71-184,71,,,3,
72-170,72,,,3,
72-184,72,,,3,
73-170,73,,,3,
73-184,73,,,3,
77-170,77,,,3,
77-184,77,,,3,
85-170,85,,,3,
85-184,85,,,3,
86-170,86,,,3,
86-184,86,,,3,
87-170,87,,,3,
87-184,87,,,3,
93-170,93,,,3,
93-184,93,,,3,
94-170,94,,,3,
94-184,94,,,3,
95-170,95,,,3,
95-184,95,,,3,
96-170,96,,,3,
96-184,96,,,3,
97-170,97,,,3,
97-184,97,,,3,
98-170,98,,,3,
98-184,98,,,3,
99-170,99,,,3,
99-184,99,,,3,
101-170,101,,,3,
101-184,101,,,3,
105-170,105,,,3,
105-184,105,,,3,
106-170,106,,,3,
106-184,106,,,3,
107-170,107,,,3,
111-170,111,,,3,
111-184,111,,,3,
112-170,112,,,3,
112-184,112,,,3,
114-170,114,,,3,
114-184,114,,,3,
116-170,116,,,3,
116-184,116,,,3,
118-170,118,,,3,
118-184,118,,,3,
120-170,120,,,3,
120-184,120,,,3,
121-170,121,,,3,
121-184,121,,,3,
122-170,122,,,3,
122-184,122,,,3,
123-170,123,,,3,
123-184,123,,,3,
124-170,124,,,3,
124-184,124,,,3,
126-170,126,,,3,
126-184,126,,,3,
127-170,127,,,3,
127-184,127,,,3,
128-170,128,,,3,
128-184,128,,,3,
129-170,129,,,3,
129-184,129,,,3,
130-170,130,,,3,
130-184,130,,,3,
131-170,131,,,3,
131-184,131,,,3,
132-170,132,,,3,
132-184,132,,,3,
134-170,134,,,3,
134-184,134,,,3,
135-170,135,,,3,
135-184,135,,,3,
136-170,136,,,3,
136-184,136,,,3,
137-170,137,,,3,
137-184,137,,,3,
140-170,140,,,3,
140-184,140,,,3,
143-170,143,,,3,
143-184,143,,,3,
144-170,144,,,3,
144-184,144,,,3,
146-170,146,,,3,
146-184,146,,,3,
147-170,147,,,3,
147-184,147,,,3,
148-170,148,,,3,
148-184,148,,,3,
149-170,149,,,3,
149-184,149,,,3,
150-170,150,,,3,
150-184,150,,,3,
151-170,151,,,3,
151-184,151,,,3,
152-170,152,,,3,
152-184,152,,,3,
153-170,153,,,3,
153-184,153,,,3,
154-170,154,,,3,
154-184,154,,,3,
155-170,155,,,3,
155-184,155,,,3,
156-170,156,,,3,
156-184,156,,,3,
157-170,157,,,3,
157-184,157,,,3,
159-170,159,,,3,
159-184,159,,,3,
161-170,161,,,3,
161-184,161,,,3,
164-170,164,,,3,
164-184,164,,,3,
168-170,168,,,3,
168-184,168,,,3,
170-170,170,,,3,
170-184,170,,,3,
171-170,171,,,3,
171-184,171,,,3,
172-170,172,,,3,
172-184,172,,,3,
173-170,173,,,3,
173-184,173,,,3,
174-170,174,,,3,
174-184,174,,,3,
175-170,175,,,3,
175-184,175,,,3,
176-170,176,,,3,
176-184,176,,,3,
177-170,177,,,3,
177-184,177,,,3,
178-170,178,,,3,
178-184,178,,,3,
180-170,180,,,3,
180-184,180,,,3,
181-170,181,,,3,
181-184,181,,,3,
182-170,182,,,3,
182-184,182,,,3,
186-170,186,,,3,
186-184,186,,,3,
188-170,188,,,3,
188-184,188,,,3,
189-170,189,,,3,
189-184,189,,,3,
192-170,192,,,3,
192-184,192,,,3,
193-170,193,,,3,
193-184,193,,,3,
194-170,194,,,3,
194-184,194,,,3,
196-170,196,,,3,
199-170,199,,,3,
199-184,199,,,3,
201-162,201,,,3,
201-184,201,,,3,
202-162,202,,,3,
202-184,202,,,3,
203-162,203,,,3,
203-184,203,,,3,
204-162,204,,,3,
204-184,204,,,3,
205-162,205,,,3,
205-184,205,,,3,
221-170,221,,,3,
221-184,221,,,3,
231-170,231,,,3,
231-184,231,,,3,
232-170,232,,,3,
232-184,232,,,3,
261-170,261,,,3,
261-184,261,,,3,
262-170,262,,,3,
262-184,262,,,3,
263-170,263,,,3,
263-184,263,,,3,
283-170,283,,,3,
283-184,283,,,3,
401-60,401,,,3,
402-60,402,,,3,
403-60,403,,,3,
404-60,404,,,3,
405-60,405,,,3,
406-60,406,,,3,
602-170,602,,,3,
602-184,602,,,3,
611-170,611,,,3,
611-184,611,,,3,
612-170,612,,,3,
612-184,612,,,3,
613-170,613,,,3,
613-184,613,,,3,
618-170,618,,,3,
618-184,618,,,3,
619-170,619,,,3,
619-184,619,,,3,
622-170,622,,,3,
