stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
AA010,8767,"SUSSEX / CHUTE RIDEAU FALLS",,45.439869,-75.695839,,,0
AA020,6859,"SUSSEX / CHUTE RIDEAU FALLS",,45.439571,-75.695694,,,0
AA030,7001,"SUSSEX / ALEXANDER",,45.44286,-75.693565,,,0
AA035,8762,"ALEXANDER / THOMAS",,45.442795,-75.692322,,,0
AA040,7000,"JOHN / SUSSEX",,45.442554,-75.693504,,,0
AA050,7002,"ALEXANDER / CHARLES",,45.442532,-75.691505,,,0
AA060,8766,"CRICHTON / CHARLES",,45.442223,-75.691216,,,0
AA070,7003,"CRICHTON / UNION",,45.441673,-75.689964,,,0
AA080,7005,"CRICHTON / UNION",,45.441708,-75.689529,,,0
AA090,7004,"CRICHTON / VICTORIA",,45.441139,-75.688271,,,0
AA100,7006,"CRICHTON / VICTORIA",,45.441162,-75.687935,,,0
AA110,7007,"CRICHTON / KEEFER",,45.440731,-75.686615,,,0
AA120,8763,"CRICHTON / KEEFER",,45.440338,-75.685699,,,0
AA130,7008,"CRICHTON / DUFFERIN",,45.439579,-75.682983,,,0
AA140,8765,"CRICHTON / THE MEWS",,45.43964,-75.68264,,,0
AA150,7010,"CRICHTON / ELECTRIC",,45.439083,-75.679955,,,0
AA160,7009,"CRICHTON / ELECTRIC",,45.438885,-75.679878,,,0
AA170,8764,"CRICHTON / BEECHWOOD",,45.438602,-75.678429,,,0
AA180,7011,"CRICHTON / BEECHWOOD",,45.438755,-75.678513,,,0
AA190,8792,"BEECHWOOD / CRICHTON",,45.438652,-75.67762,,,0
AA200,8793,"BEECHWOOD / CHARLEVOIX",,45.438988,-75.677078,,,0
AA210,8922,"BEECHWOOD / MACKAY",,45.439556,-75.676849,,,0
AA220,8794,"BEECHWOOD / LOYER",,45.440006,-75.675697,,,0
AA230,8795,"BEECHWOOD / ST CHARLES",,45.441257,-75.673248,,,0
AA240,8790,"BEECHWOOD / ST CHARLES",,45.441147,-75.674057,,,0
AA251,1649,"BEECHWOOD / MARIER",,45.442188,-75.671356,,,0
AA260,7015,"BEECHWOOD / ACACIA",,45.442188,-75.671562,,,0
AA270,7013,"BEECHWOOD / MARQUETTE",,45.443604,-75.670425,,,0
AA280,8797,"BEECHWOOD / CORONA",,45.444061,-75.670532,,,0
AA290,7014,"BEECHWOOD / CORONA",,45.444645,-75.670105,,,0
AA300,7016,"BEECHWOOD / JULIANA",,45.445854,-75.669502,,,0
AA310,8796,"BEECHWOOD / JULIANA",,45.445889,-75.669182,,,0
AA320,7017,"HEMLOCK / LANSDOWNE",,45.447628,-75.668449,,,0
AA325,7018,"HEMLOCK / WHITEMARL",,45.448833,-75.665802,,,0
AA330,7019,"HEMLOCK / LANSDOWNE",,45.44759,-75.668083,,,0
AA335,7020,"HEMLOCK / WHITEMARL",,45.448765,-75.665031,,,0
AA340,8788,"SPRINGFIELD / BEECHWOOD",,45.440071,-75.676292,,,0
AA350,7021,"SPRINGFIELD / PUTMAN",,45.441841,-75.676804,,,0
AA360,7022,"SPRINGFIELD / RIDEAU",,45.443668,-75.677185,,,0
AA370,7023,"SPRINGFIELD / LINDENLEA",,45.444904,-75.677437,,,0
AA380,8789,"MAPLE LANE / SPRINGFIELD",,45.44632,-75.677597,,,0
AA390,7024,"MAPLE LANE / ELMDALE",,45.446541,-75.674881,,,0
AA400,7025,"MAPLE LANE / ACACIA",,45.446701,-75.673134,,,0
AA410,7026,"ACACIA / RIDEAU TERRACE",,45.444561,-75.672432,,,0
AB060,1650,"MARIER / BEECHWOOD",,45.441963,-75.671501,,,0
AB065,7263,"MARIER / BARRETTE",,45.441906,-75.670959,,,0
AB070,7029,"MARIER / GENEST",,45.441189,-75.66906,,,0
AB075,7264,"MARIER / GENEST",,45.441048,-75.669083,,,0
AB100,8752,"DES PÈRES BLANCS / MARIER",,45.440041,-75.66571,,,0
AB110,8995,"DES PÈRES BLANCS / MARIER",,45.440163,-75.665367,,,0
AB120,7034,"DES PÈRES BLANCS / MARQUETTE",,45.440853,-75.664574,,,0
AB130,7035,"DES PÈRES BLANCS / LONGPRÉ",,45.440781,-75.664528,,,0
AB185,839,"DES PÈRES BLANCS / LEBRUN",,45.442703,-75.661797,,,0
AB195,1890,"DES PÈRES BLANCS / LEBRUN",,45.442322,-75.662582,,,0
AB200,7040,"DES PÈRES BLANCS / AD. 300",,45.444321,-75.660179,,,0
AB290,1545,"GRANVILLE / MONTRÉAL",,45.43819,-75.656242,,,0
AB300,8749,"ALFRED / MONTRÉAL",,45.43885,-75.654579,,,0
AB310,7046,"MONTFORT / ALFRED",,45.439438,-75.656059,,,0
AB320,1544,"MONTFORT / GRANVILLE",,45.43911,-75.656685,,,0
AB330,8745,"MONTFORT / STE ANNE",,45.43911,-75.658913,,,0
AB340,8747,"MONTFORT / STE ANNE",,45.438931,-75.659218,,,0
AB350,7049,"MONTFORT / BRADLEY",,45.438835,-75.660973,,,0
AB360,7047,"MONTFORT / PARK",,45.438904,-75.661392,,,0
AB370,7048,"MONTFORT / MARIER",,45.438797,-75.66301,,,0
AB380,7050,"MARIER / MONTFORT",,45.438873,-75.663399,,,0
AB450,8944,"VANIER / PATHWAY",,45.437725,-75.674026,,,0
AB455,1398,"VANIER / PATHWAY",,45.437473,-75.673851,,,0
AB456,6579,"VANIER / MEILLEUR",,45.437305,-75.671524,,,0
AB458,6580,"VANIER / MEILLEUR",,45.437145,-75.671593,,,0
AB460,7051,"VANIER / DESCHAMPS",,45.436554,-75.669052,,,0
AB470,8775,"VANIER / DESCHAMPS",,45.436077,-75.668594,,,0
AB480,7052,"VANIER / MONTRÉAL",,45.435078,-75.66642,,,0
AB490,8781,"MONTRÉAL / NORTH RIVER",,45.433006,-75.66983,,,0
AB500,1575,"MONTRÉAL / MONTGOMERY",,45.433224,-75.668663,,,0
AB510,8783,"MONTRÉAL / VANIER",,45.434216,-75.666588,,,0
AB520,7053,"MONTRÉAL / VANIER",,45.434212,-75.666153,,,0
AB530,8947,"MONTRÉAL / EMOND",,45.435215,-75.664146,,,0
AB540,7054,"MONTRÉAL / CYR",,45.435043,-75.663971,,,0
AB550,8784,"MONTRÉAL / OLMSTEAD",,45.435905,-75.662399,,,0
AB560,8758,"MONTRÉAL / OLMSTEAD",,45.435589,-75.662582,,,0
AB570,7055,"MONTRÉAL / MARIER",,45.436504,-75.660843,,,0
AB580,7057,"MONTRÉAL / BEGIN",,45.436306,-75.660728,,,0
AB600,7058,"MONTRÉAL / LACASSE",,45.437252,-75.658211,,,0
AB611,1279,"MONTRÉAL / BRADLEY",,45.437313,-75.658615,,,0
AB620,7059,"MONTRÉAL / LAFONTAINE",,45.437832,-75.656555,,,0
AB630,1543,"MONTRÉAL / GRANVILLE",,45.438267,-75.655853,,,0
AB640,929,"MONTRÉAL / DUCHARME",,45.438648,-75.653984,,,0
AB650,8741,"MONTRÉAL / CANTIN",,45.439041,-75.653275,,,0
AB660,8740,"MONTRÉAL / DE L'ÉGLISE",,45.439583,-75.65126,,,0
AB670,8739,"MONTRÉAL / DE L'EGLISE",,45.439667,-75.651398,,,0
AB680,7060,"MONTRÉAL / NOTRE DAME CEMETERY",,45.440189,-75.649269,,,0
AB690,927,"MONTRÉAL / NOTRE DAME CEMETERY",,45.4403,-75.649681,,,0
AB700,953,"MONTRÉAL / ST LAURENT",,45.440903,-75.647102,,,0
